practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,current_image,trial_index,is_blank_trial,cue,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,image_2.started,polygon_3.started,all_keys_pressed_2.started,all_keys_pressed_2.stopped,image_2.stopped,practice_trial.stopped,all_keys_pressed_2.keys,blank.started,polygon.started,blank.stopped,cue.started,text_cue.started,cue.stopped,imagine.started,image_4.started,polygon_4.started,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.002208333999988099,0.0023073340003065823,,,,,,,,,,,,,,,,,,,,,,,,,0,001,0,,2024-06-27_09h52.18.118,replicate_nsd,2024.1.5,None,2024-06-27 09h52.20.849105 -0400,
,,,,,,,,,,,,0.0023225840000122844,0.010816500000146334,0.010816500000146334,0.812787667000066,2,0.6397054999997636,None,,,,,,,,,,,,,,,,,,0,001,0,,2024-06-27_09h52.18.118,replicate_nsd,2024.1.5,None,2024-06-27 09h52.20.849105 -0400,
,,,,,,,,0.8350149170000805,,,,,,,,,,,0.8171851250003783,0.8350149170000805,0.8350149170000805,0.8350149170000805,3.2294021249999787,3.8300155000001723,4.819312542000262,None,4.819763250000051,4.832173834000059,5.322224334000111,5.32224429200005,5.335438084000089,6.32222158400009,6.322239000000081,6.329380958999991,6.329380958999991,,,,,,,,,,
