current_image,trial_index,is_blank_trial,cue,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,polygon_7.started,image_2.started,polygon_3.started,all_keys_pressed_2.started,polygon_7.stopped,image_2.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,all_keys_pressed_2.keys,cue.started,text_cue.started,cue.stopped,imagine.started,polygon_6.started,imagine.stopped,blank.started,polygon.started,blank.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.002442791999783367,0.0025354169993079267,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,0,,2024-06-27_11h38.30.887,replicate_nsd,2024.1.5,None,2024-06-27 11h38.33.534523 -0400,
,,,,,,,,,,,,0.0025509589995635906,0.011336916999425739,0.011336916999425739,1.4775968339999963,2,1.2979036249998899,None,,,,,,,,,,,,,,,,,,,,0,001,0,,2024-06-27_11h38.30.887,replicate_nsd,2024.1.5,None,2024-06-27 11h38.33.534523 -0400,
practice_images/paired_image_2_1.png,0,0,blank,0,0,0,0,1.5042150419994869,,,,,,,,,,,1.4821114589994977,1.5042150419994869,1.5042150419994869,1.5042150419994869,1.5042150419994869,3.501482792000388,3.501482792000388,3.9015157089997956,4.481810084000244,None,4.482126291999521,4.489632124999844,5.4882412499991915,5.4882576250001875,5.4912370839992946,9.481571250000343,9.481589666998843,9.491367791999437,10.481740999999602,0,001,0,,2024-06-27_11h38.30.887,replicate_nsd,2024.1.5,None,2024-06-27 11h38.33.534523 -0400,
,,,,,,,,10.491939958999865,,,,,,,,,,,10.482103333999476,10.491939958999865,10.491939958999865,10.491939958999865,10.491939958999865,,,,,,,,,,,,,,,,,,,,,,,,
