current_image,trial_index,is_blank_trial,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0029272499999990487,0.003008582999996179,0.003014207999996188,0.020125249999978223,0.020125249999978223,1.1894663329999844,2,1.164252165999983,None,,,,,,,,,,,,,,,,,,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_29_1.png,0,0,0,0,0,0,1.3163739999999962,,,,,,,,,,,1.212243290999993,1.2123183749999953,1.2123278749999997,1.3163739999999962,1.3163739999999962,1.9074707909999802,1.9074707909999802,3.7127066660000025,3.7127066660000025,3.7127066660000025,3.7127066660000025,3.6993065829999807,None,0,None,3.700096957999989,3.7001541660000044,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_12_1.png,1,0,0,1,1,1,3.7127066660000025,,,,,,,,,,,3.700465874999992,3.7005316249999964,3.700544291,3.7127066660000025,3.7127066660000025,4.3090892499999995,4.3090892499999995,6.110337624999971,6.110337624999971,6.110337624999971,6.110337624999971,6.098137250000008,None,0,None,6.098602166000006,6.098646540999965,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_22_2.png,2,0,0,2,2,2,6.110337624999971,,,,,,,,,,,6.098955540999981,6.099019207999987,6.099031541000016,6.110337624999971,6.110337624999971,6.704948125000016,6.704948125000016,8.512143915999985,8.512143915999985,8.512143915999985,8.512143915999985,8.499395625000005,None,0,None,8.49986683299997,8.499905790999975,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_20_2.png,3,0,0,3,3,3,8.512143915999985,,,,,,,,,,,8.50022066599999,8.500284457999982,8.500297165999967,8.512143915999985,8.512143915999985,9.259172207999967,9.259172207999967,11.057973499999974,11.057973499999974,11.057973499999974,11.057973499999974,11.046937374999999,None,0,None,11.047393791000019,11.047442165999968,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_33_1.png,4,0,0,4,4,4,11.057973499999974,,,,,,,,,,,11.047706290999969,11.047759124999999,11.04776929099998,11.057973499999974,11.057973499999974,11.656185082999997,11.656185082999997,13.462555165999987,13.462555165999987,13.462555165999987,13.462555165999987,13.449280540999979,None,0,None,13.44972387499999,13.449762665999998,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_6_2.png,5,0,0,5,5,5,13.462555165999987,,,,,,,,,,,13.45007587500001,13.450140040999969,13.450152916000008,13.462555165999987,13.462555165999987,14.627715375000008,14.627715375000008,16.595101374999985,16.595101374999985,16.595101374999985,16.595101374999985,16.581166291000017,None,0,None,16.582338874999976,16.582407458000006,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_28_1.png,6,0,0,6,6,6,16.595101374999985,,,,,,,,,,,16.582836458000003,16.58302762499997,16.583040957999998,16.595101374999985,16.595101374999985,17.727086958,17.727086958,19.531340916000005,19.531340916000005,19.531340916000005,19.531340916000005,19.519317916000006,None,0,None,19.519776374999964,19.519816874999975,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
practice_images/paired_image_15_1.png,7,0,0,7,7,7,19.531340916000005,,,,,,,,,,,19.52013841599998,19.52020324999998,19.520215707999995,19.531340916000005,19.531340916000005,20.12912020799999,20.12912020799999,22.01691624999998,22.01691624999998,22.01691624999998,22.01691624999998,21.919700707999965,None,0,None,21.920180499999987,21.920220624999985,2,001,0,,2024-04-16_08h15.27.139,replicate_nsd,2023.2.3,96.85917935458102,2024-04-16 08h15.33.511759 -0400,
,,,,,,,22.01691624999998,,,,,,,,,,,21.92053445799999,21.92060024999998,21.920612583000008,22.01691624999998,22.01691624999998,22.585366499999992,22.585366499999992,,,,,,,,,,,,,,,,,,,,
